win,lose,probability
San Antonio Spurs,Boston Celtics,0.585441407
Charlotte Hornets,New Orleans Pelicans,0.615996364
Houston Rockets,Chicago Bulls,0.929110975
Memphis Grizzlies,Dallas Mavericks,0.573573024
Golden State Warriors,Oklahoma City Thunder,0.562293851
Denver Nuggets,Minnesota Timberwolves,0.748686891
Orlando Magic,Indiana Pacers,0.550592125
Philadelphia 76ers,Charlotte Hornets,0.784277879
Milwaukee Bucks,Oklahoma City Thunder,0.50924199
Cleveland Cavaliers,New York Knicks,0.590409764
Brooklyn Nets,Phoenix Suns,0.8911887
Portland Trail Blazers,Atlanta Hawks,0.884530139
Toronto Raptors,Los Angeles Lakers,0.73496553
Detroit Pistons,Minnesota Timberwolves,0.553509915
Boston Celtics,Dallas Mavericks,0.758424392
San Antonio Spurs,Memphis Grizzlies,0.764593967
Houston Rockets,New Orleans Pelicans,0.754272252
Golden State Warriors,Utah Jazz,0.729497655
Toronto Raptors,Los Angeles Clippers,0.661991425
Oklahoma City Thunder,Indiana Pacers,0.586637517
Philadelphia 76ers,Cleveland Cavaliers,0.956621292
Miami Heat,Detroit Pistons,0.590724429
Chicago Bulls,New York Knicks,0.554901158
Denver Nuggets,Atlanta Hawks,0.905595953
Los Angeles Lakers,Phoenix Suns,0.918017339
Utah Jazz,Brooklyn Nets,0.708132222
Portland Trail Blazers,Sacramento Kings,0.729245745
Charlotte Hornets,Memphis Grizzlies,0.576710449
Philadelphia 76ers,Orlando Magic,0.64487865
Boston Celtics,Washington Wizards,0.763182619
Houston Rockets,Los Angeles Clippers,0.677931277
San Antonio Spurs,Minnesota Timberwolves,0.692879125
Golden State Warriors,Los Angeles Lakers,0.72837099
Toronto Raptors,Portland Trail Blazers,0.559688243
Miami Heat,Cleveland Cavaliers,0.91091165
Milwaukee Bucks,Chicago Bulls,0.943407147
Los Angeles Clippers,New Orleans Pelicans,0.658198914
Dallas Mavericks,New York Knicks,0.871437105
Atlanta Hawks,Phoenix Suns,0.778304624
Denver Nuggets,Brooklyn Nets,0.804377519
Charlotte Hornets,Detroit Pistons,0.573126949
San Antonio Spurs,Orlando Magic,0.573511419
Houston Rockets,Indiana Pacers,0.716178437
Utah Jazz,Memphis Grizzlies,0.643242853
Minnesota Timberwolves,Washington Wizards,0.566289761
Philadelphia 76ers,Oklahoma City Thunder,0.501943564
Golden State Warriors,Boston Celtics,0.717613125
Los Angeles Lakers,Sacramento Kings,0.62721346
Brooklyn Nets,Chicago Bulls,0.828168347
Milwaukee Bucks,Indiana Pacers,0.65412165
Charlotte Hornets,New York Knicks,0.897368911
Miami Heat,New Orleans Pelicans,0.632958374
Houston Rockets,Minnesota Timberwolves,0.723504469
Toronto Raptors,Dallas Mavericks,0.843958014
San Antonio Spurs,Portland Trail Blazers,0.525834671
Los Angeles Clippers,Atlanta Hawks,0.832543604
Philadelphia 76ers,Cleveland Cavaliers,0.96210452
Boston Celtics,Sacramento Kings,0.678977807
Denver Nuggets,Memphis Grizzlies,0.738030861
Orlando Magic,Washington Wizards,0.68657409
Golden State Warriors,New Orleans Pelicans,0.8199995
Los Angeles Lakers,Atlanta Hawks,0.778333351
Cleveland Cavaliers,New York Knicks,0.590409764
Indiana Pacers,Brooklyn Nets,0.529643533
Toronto Raptors,Charlotte Hornets,0.839162853
Milwaukee Bucks,Chicago Bulls,0.940162652
Houston Rockets,Portland Trail Blazers,0.572845172
San Antonio Spurs,Dallas Mavericks,0.752366623
Boston Celtics,Phoenix Suns,0.945121533
Utah Jazz,Minnesota Timberwolves,0.737776239
Oklahoma City Thunder,Los Angeles Clippers,0.534435979
Golden State Warriors,Memphis Grizzlies,0.785980471
Portland Trail Blazers,New Orleans Pelicans,0.751399501
Sacramento Kings,Phoenix Suns,0.87321469
Oklahoma City Thunder,Los Angeles Lakers,0.619103481
Philadelphia 76ers,New York Knicks,0.958372891
San Antonio Spurs,Washington Wizards,0.734697154
Milwaukee Bucks,Atlanta Hawks,0.878818367
Brooklyn Nets,Charlotte Hornets,0.545282149
Golden State Warriors,Dallas Mavericks,0.839483117
Miami Heat,Cleveland Cavaliers,0.885151277
Toronto Raptors,Orlando Magic,0.789586312
Detroit Pistons,Chicago Bulls,0.817236363
Utah Jazz,Minnesota Timberwolves,0.655957177
Denver Nuggets,Houston Rockets,0.601919789
Los Angeles Clippers,Boston Celtics,0.503345916
Milwaukee Bucks,Portland Trail Blazers,0.630273214
New Orleans Pelicans,Phoenix Suns,0.864127803
Detroit Pistons,Atlanta Hawks,0.71379292
Charlotte Hornets,Washington Wizards,0.554530032
Brooklyn Nets,Sacramento Kings,0.585543492
Miami Heat,Chicago Bulls,0.860055511
Oklahoma City Thunder,Los Angeles Lakers,0.696773848
Philadelphia 76ers,San Antonio Spurs,0.620383672
Dallas Mavericks,Cleveland Cavaliers,0.816226435
Denver Nuggets,Boston Celtics,0.661644336
Golden State Warriors,Utah Jazz,0.624547714
Houston Rockets,Los Angeles Clippers,0.560643978
Minnesota Timberwolves,Phoenix Suns,0.878041417
